Boots;;;;;;;;;;;
;Plein Sud;F;;Jumpers & Sweaters;;;Plein Sud-F-Jumpers & Sweaters;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730976124&catalog[]=13&brand_ids[]=51525&page=1
;Sarah Pacini;F;Clothing;Jumpers & Sweaters;;;Sarah Pacini-F-Jumpers & Sweaters;TRUE;TRUE;🔗;https://www.vinted.fr/catalog?time=1730650881&order=price_low_to_high&currency=EUR&catalog%5B%5D=13&brand_ids%5B%5D=20445&page=1
;Scervino street;F;Clothing;Jumpers & Sweaters;;;Scervino street-F-Jumpers & Sweaters;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730916837&catalog[]=13&brand_ids[]=158414&page=1
;Scrupoli;F;Clothing;Jumpers & Sweaters;;;Scrupoli-F-Jumpers & Sweaters;TRUE;TRUE;🔗;https://www.vinted.fr/catalog?time=1730652046&order=price_low_to_high&currency=EUR&catalog%5B%5D=13&brand_ids%5B%5D=524484&page=1
;Specchio;F;Clothing;Jumpers & Sweaters;;;Specchio-F-Jumpers & Sweaters;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730847306&brand_ids[]=104986&catalog[]=13&page=1
;Stefanel;F;Clothing;Jumpers & Sweaters;;;Stefanel-F-Jumpers & Sweaters;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730916254&order=newest_first&catalog[]=13&brand_ids[]=19055&page=1
;Temps des cerises;F;Clothing;Jumpers & Sweaters;;;Temps des cerises-F-Jumpers & Sweaters;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730911542&order=newest_first&catalog[]=13&brand_ids[]=46&brand_ids[]=7797&page=1
;Toy G;F;Clothing;Jumpers & Sweaters;;;Toy G-F-Jumpers & Sweaters;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730914402&order=newest_first&catalog[]=13&brand_ids[]=37701&page=1
;Yes Miss;F;Clothing;Jumpers & Sweaters;;;Yes Miss-F-Jumpers & Sweaters;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730912262&order=newest_first&catalog[]=13&brand_ids[]=111732&page=1
;Antonio Marras;F;;Jumpers & Sweaters;;;Antonio Marras-F-Jumpers & Sweaters;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730920080&catalog[]=13&brand_ids[]=360052&page=1
;Mandarina Duck;F;;Jumpers & Sweaters;;;Mandarina Duck-F-Jumpers & Sweaters;TRUE;FALSE;🔗;https://www.vinted.fr/catalog?time=1730975769&brand_ids[]=24637&catalog[]=13&page=1
